map,N,seed,pure,swap,cnt,cnt_fires,cnt_time
four_rooms,15,0,1,1,1,0,.009046637
four_rooms,15,1,1,1,1,0,.004807325
four_rooms,15,2,1,1,1,0,.007966700
four_rooms,15,3,1,1,1,0,.006501042
four_rooms,15,4,1,1,1,0,.004509320
four_rooms,15,5,1,1,1,0,.004208596
four_rooms,15,6,1,1,1,0,.005072195
four_rooms,15,7,1,1,1,0,.004273385
four_rooms,15,8,1,1,1,0,.003887457
four_rooms,15,9,1,1,1,0,.004213257
four_rooms,15,10,1,1,1,0,.007551503
four_rooms,15,11,1,1,1,0,.004002547
four_rooms,15,12,1,1,1,0,.004030748
four_rooms,15,13,1,1,1,0,.006143874
four_rooms,15,14,1,1,1,0,.004150765
four_rooms,15,15,1,1,1,0,.005823783
four_rooms,15,16,1,1,1,0,.004406595
four_rooms,15,17,1,1,1,0,.004064227
four_rooms,15,18,1,1,1,0,.004904776
four_rooms,15,19,1,1,1,0,.005954753
four_rooms,15,20,1,1,1,0,.004758803
four_rooms,15,21,1,1,1,0,.004266361
four_rooms,15,22,1,1,1,0,.003895044
four_rooms,15,23,1,1,1,0,.004351446
four_rooms,15,24,1,1,1,0,.004668649
four_rooms,15,25,1,1,1,0,.003970019
four_rooms,15,26,1,1,1,0,.003951417
four_rooms,15,27,1,1,1,0,.003795633
four_rooms,15,28,1,1,1,0,.003876469
four_rooms,15,29,1,1,1,0,.004195718
four_rooms,20,0,1,1,1,0,.007442017
four_rooms,20,1,1,1,1,0,.005778689
four_rooms,20,2,1,1,1,0,.004786386
four_rooms,20,3,1,1,1,0,.004148581
four_rooms,20,4,1,1,1,0,.003975287
four_rooms,20,5,1,1,1,0,.003984891
four_rooms,20,6,1,1,1,0,.004048845
four_rooms,20,7,1,1,1,2,.006654252
four_rooms,20,8,1,1,1,0,.004221184
four_rooms,20,9,1,0,1,2,.004357132
four_rooms,20,10,0,1,1,0,.004658789
four_rooms,20,11,0,1,1,1,.004297467
four_rooms,20,12,1,1,1,0,.003951369
four_rooms,20,13,1,1,1,0,.004371681
four_rooms,20,14,1,1,1,0,.004174434
four_rooms,20,15,1,1,1,0,.004265947
four_rooms,20,16,1,1,1,0,.005479495
four_rooms,20,17,1,1,1,0,.005767194
four_rooms,20,18,1,1,1,0,.006468521
four_rooms,20,19,1,1,1,0,.006333471
four_rooms,20,20,1,1,1,0,.007253217
four_rooms,20,21,1,1,1,0,.006892938
four_rooms,20,22,1,1,1,1,.004068441
four_rooms,20,23,1,1,1,0,.004238773
four_rooms,20,24,1,0,1,1,.031679754
four_rooms,20,25,1,1,1,1,.005997336
four_rooms,20,26,1,1,1,0,.005238415
four_rooms,20,27,1,1,1,1,.005354623
four_rooms,20,28,1,1,1,0,.004794883
four_rooms,20,29,1,1,1,0,.004987480
four_rooms,25,0,1,1,1,0,.006623599
four_rooms,25,1,0,1,1,2,.005669971
four_rooms,25,2,0,1,1,1,.006749134
four_rooms,25,3,0,0,0,3,.005380849
four_rooms,25,4,1,1,1,1,.004548067
four_rooms,25,5,1,1,1,1,.007191336
four_rooms,25,6,1,1,1,5,.005208721
four_rooms,25,7,1,1,1,0,.005017008
four_rooms,25,8,1,1,1,2,.005790853
four_rooms,25,9,0,1,1,2,.004351791
four_rooms,25,10,1,1,1,0,.006974697
four_rooms,25,11,0,1,1,2,.007624094
four_rooms,25,12,0,0,0,2,.006902092
four_rooms,25,13,1,1,1,0,.004836482
four_rooms,25,14,1,1,1,2,.006128586
four_rooms,25,15,1,0,0,1,.005087136
four_rooms,25,16,0,1,1,0,.004437963
four_rooms,25,17,1,1,1,0,.004391411
four_rooms,25,18,0,1,1,1,.004921155
four_rooms,25,19,1,1,1,0,.007880752
four_rooms,25,20,0,0,0,1,.005439679
four_rooms,25,21,1,1,1,0,.004526644
four_rooms,25,22,0,1,1,0,.004065917
four_rooms,25,23,1,1,1,0,.006359551
four_rooms,25,24,0,1,1,1,.005543298
four_rooms,25,25,0,0,0,1,.004044922
four_rooms,25,26,0,0,0,2,.003982978
four_rooms,25,27,0,1,1,1,.004549221
four_rooms,25,28,0,1,0,2,.003932559
four_rooms,25,29,1,1,1,0,.004874086
four_rooms,30,0,0,0,1,3,.035052209
four_rooms,30,1,0,0,0,299710,7.309968924
four_rooms,30,2,1,0,1,2,.013241282
four_rooms,30,3,0,0,0,3,8.046010784
four_rooms,30,4,1,1,1,6,.007432202
four_rooms,30,5,0,0,1,3,.022228404
four_rooms,30,6,1,1,1,8,.005109367
four_rooms,30,7,0,1,0,2,.008103889
four_rooms,30,8,0,0,0,4,.004791731
four_rooms,30,9,0,1,1,4,.005549239
four_rooms,30,10,0,0,1,3,.021486910
four_rooms,30,11,0,0,0,2,.022971785
four_rooms,30,12,0,0,0,1,.005186984
four_rooms,30,13,0,0,1,5,.008128267
four_rooms,30,14,0,0,0,3,.022564463
four_rooms,30,15,0,1,0,4,7.495396328
four_rooms,30,16,0,0,1,5,.006068629
four_rooms,30,17,0,0,1,4,.006024016
four_rooms,30,18,0,1,1,5,.007128288
four_rooms,30,19,0,0,1,6,.007180422
four_rooms,30,20,0,0,0,4,.005044434
four_rooms,30,21,1,1,0,2,.005897617
four_rooms,30,22,1,1,1,5,.006278005
four_rooms,30,23,0,1,1,3,.010103643
four_rooms,30,24,0,0,0,1,.005001417
four_rooms,30,25,0,0,0,2,.005474229
four_rooms,30,26,0,1,0,3,8.046542092
four_rooms,30,27,0,1,0,1376,8.057867511
four_rooms,30,28,0,1,1,3,.007778290
four_rooms,30,29,0,0,0,3,.005422822
four_rooms,35,0,0,0,0,2,.006017784
four_rooms,35,1,0,0,0,5,.086385132
four_rooms,35,2,0,0,1,16,.158008428
four_rooms,35,3,0,0,1,17,.064488711
four_rooms,35,4,0,1,0,43,8.076422122
four_rooms,35,5,0,0,1,43,.045118819
four_rooms,35,6,0,0,0,3,.055422185
four_rooms,35,7,0,0,0,5,.006719591
four_rooms,35,8,0,0,0,12,.009592700
four_rooms,35,9,0,0,0,2,.005294004
four_rooms,35,10,0,0,0,2,7.944936213
four_rooms,35,11,0,0,0,2,.007060801
four_rooms,35,12,0,0,0,7,.006187273
four_rooms,35,13,0,1,0,3,5.721933670
four_rooms,35,14,0,0,0,2,.009784864
four_rooms,35,15,0,1,0,220376,7.244247421
four_rooms,35,16,0,0,0,3,.007275177
four_rooms,35,17,0,0,0,6,.035708499
four_rooms,35,18,0,0,0,15,8.034709274
four_rooms,35,19,0,0,0,9,.009181170
four_rooms,35,20,0,0,0,4,.007321956
four_rooms,35,21,1,1,0,3,.005261800
four_rooms,35,22,0,1,1,3158,3.440528473
four_rooms,35,23,0,0,0,8,.005996258
four_rooms,35,24,0,0,0,2,.005714638
four_rooms,35,25,0,0,0,2,.004782202
four_rooms,35,26,0,0,1,19,.009472975
four_rooms,35,27,0,0,0,5,.081888811
four_rooms,35,28,0,0,0,7,7.606984620
four_rooms,35,29,0,1,0,4,8.033505476
four_rooms,40,0,0,0,0,3,.004355768
four_rooms,40,1,0,0,0,4,6.928820069
four_rooms,40,2,0,0,0,6,7.426798298
four_rooms,40,3,0,0,0,2,.004605508
four_rooms,40,4,0,0,0,22,.006435735
four_rooms,40,5,0,0,0,3,.008601569
four_rooms,40,6,0,0,0,68,.058203436
four_rooms,40,7,0,0,0,24,.008848530
four_rooms,40,8,0,0,0,11,8.037812385
four_rooms,40,9,0,0,0,2,.006359410
four_rooms,40,10,0,0,0,2,.061020965
four_rooms,40,11,0,0,0,22,.091229422
four_rooms,40,12,0,0,0,2,.005344545
four_rooms,40,13,0,0,0,2,7.982956859
four_rooms,40,14,0,0,0,15,8.034218869
four_rooms,40,15,0,0,0,10,6.910032987
four_rooms,40,16,0,0,0,5,.006866378
four_rooms,40,17,0,0,0,11,.108713170
four_rooms,40,18,0,0,0,10,.091814040
four_rooms,40,19,0,0,0,2,.005406093
four_rooms,40,20,0,0,0,6,.005703801
four_rooms,40,21,0,0,0,195141,7.359650552
four_rooms,40,22,0,0,0,17,.310029255
four_rooms,40,23,0,0,0,8,.454492520
four_rooms,40,24,0,0,0,3,.006367655
four_rooms,40,25,0,0,0,3,.004779593
four_rooms,40,26,0,0,0,3,.004248144
four_rooms,40,27,0,0,0,23,7.422569849
four_rooms,40,28,0,0,0,9,7.811130643
four_rooms,40,29,0,0,0,22,8.035298372
roomfull,15,0,0,1,1,1,.005708082
roomfull,15,1,0,0,0,1,.006206148
roomfull,15,2,1,1,1,0,.004970346
roomfull,15,3,1,1,1,0,.004824309
roomfull,15,4,0,0,1,1,.005228371
roomfull,15,5,1,1,1,0,.004752100
roomfull,15,6,1,1,1,0,.006363928
roomfull,15,7,1,1,1,0,.005163678
roomfull,15,8,1,1,1,0,.005017972
roomfull,15,9,1,1,1,0,.006156174
roomfull,15,10,1,1,1,0,.005648488
roomfull,15,11,1,1,1,0,.005111313
roomfull,15,12,1,1,1,0,.005372708
roomfull,15,13,1,1,1,0,.004410544
roomfull,15,14,1,1,1,0,.005990131
roomfull,15,15,1,1,1,0,.005145163
roomfull,15,16,1,1,1,0,.004883643
roomfull,15,17,1,1,1,0,.004857268
roomfull,15,18,1,1,1,0,.004855319
roomfull,15,19,1,1,1,0,.004216183
roomfull,15,20,1,1,1,0,.007401330
roomfull,15,21,1,1,1,0,.004569927
roomfull,15,22,1,1,1,0,.004552279
roomfull,15,23,1,1,1,0,.005216707
roomfull,15,24,1,1,1,0,.005377393
roomfull,15,25,1,1,1,0,.004492646
roomfull,15,26,1,1,1,0,.007754814
roomfull,15,27,1,1,1,0,.004596670
roomfull,15,28,1,1,1,0,.004426052
roomfull,15,29,1,1,1,0,.004998536
roomfull,20,0,0,0,0,1,.004639500
roomfull,20,1,0,0,0,1,.006376104
roomfull,20,2,1,1,1,1,.004944357
roomfull,20,3,1,1,1,0,.006182835
roomfull,20,4,1,1,1,0,.005613645
roomfull,20,5,1,1,1,0,.005718588
roomfull,20,6,1,1,1,0,.007092636
roomfull,20,7,0,1,1,1,.006317351
roomfull,20,8,1,1,1,0,.007302198
roomfull,20,9,1,1,1,0,.005631002
roomfull,20,10,1,1,1,0,.005819611
roomfull,20,11,1,1,1,0,.006752515
roomfull,20,12,1,1,1,0,.009093693
roomfull,20,13,1,1,1,0,.005389711
roomfull,20,14,1,1,1,0,.005160220
roomfull,20,15,0,1,1,1,.007482395
roomfull,20,16,0,1,1,1,.006716938
roomfull,20,17,1,1,1,0,.007497440
roomfull,20,18,1,1,1,0,.005568898
roomfull,20,19,1,1,1,0,.008203526
roomfull,20,20,0,0,0,96644,8.157384452
roomfull,20,21,1,1,1,0,.004930122
roomfull,20,22,1,1,1,0,.005605569
roomfull,20,23,1,1,1,0,.005482636
roomfull,20,24,1,1,1,0,.004800990
roomfull,20,25,1,1,1,1,.005039084
roomfull,20,26,1,1,1,0,.005958192
roomfull,20,27,1,1,1,0,.004742499
roomfull,20,28,1,1,1,0,.005771719
roomfull,20,29,1,1,1,21,.004951883
roomfull,25,0,0,0,1,6,.007104217
roomfull,25,1,0,1,0,68017,7.609471316
roomfull,25,2,0,1,1,2,.006385931
roomfull,25,3,0,0,0,1,.007182027
roomfull,25,4,1,0,0,2,.005904989
roomfull,25,5,0,0,0,2,.097913880
roomfull,25,6,0,1,1,0,.008513464
roomfull,25,7,0,0,0,4,.006257025
roomfull,25,8,0,0,0,951,.115716894
roomfull,25,9,0,1,1,0,.006674698
roomfull,25,10,1,1,1,0,.006572716
roomfull,25,11,1,1,1,0,.005863200
roomfull,25,12,1,1,1,1,.006968194
roomfull,25,13,0,1,1,2,.006158426
roomfull,25,14,1,1,1,0,.007168274
roomfull,25,15,1,1,1,1,.006427439
roomfull,25,16,0,1,1,2,.006848346
roomfull,25,17,0,0,0,1,.007124206
roomfull,25,18,1,0,1,1,.006504930
roomfull,25,19,1,1,1,1,.007269792
roomfull,25,20,0,0,0,5,.007127841
roomfull,25,21,1,1,1,4,.008454806
roomfull,25,22,0,0,0,1,.006516010
roomfull,25,23,1,1,1,0,.007337804
roomfull,25,24,0,0,0,31526,8.246422939
roomfull,25,25,0,1,1,0,.006065213
roomfull,25,26,1,1,1,0,.006417193
roomfull,25,27,0,0,0,1,.004554131
roomfull,25,28,1,1,1,0,.006180395
roomfull,25,29,0,0,0,64602,8.019424016
roomfull,30,0,0,0,0,1,.006102519
roomfull,30,1,0,0,0,30486,7.328149962
roomfull,30,2,0,0,0,4,.006381613
roomfull,30,3,0,1,1,1,.006403927
roomfull,30,4,1,0,0,1,.006851783
roomfull,30,5,0,0,0,0,.005451795
roomfull,30,6,0,0,0,2,.005517564
roomfull,30,7,0,0,0,40065,7.455764075
roomfull,30,8,0,0,0,29264,7.383808224
roomfull,30,9,0,0,0,9,.474824224
roomfull,30,10,0,0,0,3,.004139841
roomfull,30,11,0,1,1,7,.004429863
roomfull,30,12,0,0,0,1,.003830674
roomfull,30,13,0,0,0,2,.004158090
roomfull,30,14,0,1,1,8,.004949905
roomfull,30,15,0,0,0,2,.004031469
roomfull,30,16,0,0,0,61592,8.162968003
roomfull,30,17,0,0,0,27946,7.219124793
roomfull,30,18,0,0,0,3,.009942570
roomfull,30,19,0,0,0,23013,7.245833120
roomfull,30,20,0,0,0,4,.103948505
roomfull,30,21,0,1,1,3,.007783626
roomfull,30,22,0,0,0,3,.008691376
roomfull,30,23,0,0,0,0,.005903479
roomfull,30,24,0,0,0,2,.012646033
roomfull,30,25,0,0,1,6,.006581631
roomfull,30,26,0,0,0,4,.005521028
roomfull,30,27,0,0,0,22304,7.223875838
roomfull,30,28,0,0,0,28262,6.704088169
roomfull,30,29,0,0,0,29882,8.197399046
roomfull,35,0,0,0,0,2,.006873571
roomfull,35,1,0,0,0,9621,7.331095419
roomfull,35,2,0,0,0,12805,6.506422131
roomfull,35,3,0,0,0,1,.004667413
roomfull,35,4,0,0,0,9987,6.632360062
roomfull,35,5,0,0,0,3,.006650848
roomfull,35,6,0,0,0,17203,6.609622657
roomfull,35,7,0,0,0,6921,6.970559437
roomfull,35,8,0,0,0,11722,7.099401586
roomfull,35,9,0,0,0,1,.006152448
roomfull,35,10,0,0,0,1,.005635645
roomfull,35,11,0,0,0,1,.005328808
roomfull,35,12,0,0,0,2,.005361896
roomfull,35,13,0,0,0,7543,6.361510469
roomfull,35,14,0,0,0,1,.005522012
roomfull,35,15,0,0,0,1,.005269474
roomfull,35,16,0,0,0,2,.026306195
roomfull,35,17,0,0,0,10813,7.079460365
roomfull,35,18,0,0,0,9790,6.424561722
roomfull,35,19,0,0,0,5474,6.469520599
roomfull,35,20,0,0,0,5183,7.226535202
roomfull,35,21,0,0,0,3,.055965183
roomfull,35,22,0,0,0,2,.023012235
roomfull,35,23,0,0,0,1,.004319002
roomfull,35,24,0,0,0,3844,7.087691000
roomfull,35,25,0,0,0,2,.005880202
roomfull,35,26,0,0,0,8177,6.455889552
roomfull,35,27,0,0,0,8906,6.993884276
roomfull,35,28,0,0,0,6207,7.075686472
roomfull,35,29,0,0,0,2,.716917856
roomfull,40,0,0,0,0,0,.004201953
roomfull,40,1,0,0,0,0,.004271889
roomfull,40,2,0,0,0,0,.004982113
roomfull,40,3,0,0,0,0,.005195651
roomfull,40,4,0,0,0,0,.003944369
roomfull,40,5,0,0,0,0,.003845252
roomfull,40,6,0,0,0,0,.003871072
roomfull,40,7,0,0,0,0,.004483841
roomfull,40,8,0,0,0,0,.004194284
roomfull,40,9,0,0,0,0,.003559450
roomfull,40,10,0,0,0,0,.007313431
roomfull,40,11,0,0,0,0,.004611362
roomfull,40,12,0,0,0,0,.004581090
roomfull,40,13,0,0,0,0,.004504127
roomfull,40,14,0,0,0,0,.005474497
roomfull,40,15,0,0,0,0,.004145631
roomfull,40,16,0,0,0,0,.004164012
roomfull,40,17,0,0,0,0,.003595150
roomfull,40,18,0,0,0,0,.003719338
roomfull,40,19,0,0,0,0,.003525937
roomfull,40,20,0,0,0,0,.004254103
roomfull,40,21,0,0,0,0,.005032286
roomfull,40,22,0,0,0,0,.005633885
roomfull,40,23,0,0,0,0,.003456141
roomfull,40,24,0,0,0,0,.003399306
roomfull,40,25,0,0,0,0,.003396941
roomfull,40,26,0,0,0,0,.003612414
roomfull,40,27,0,0,0,0,.003447119
roomfull,40,28,0,0,0,0,.004246294
roomfull,40,29,0,0,0,0,.003632666
flow,15,0,1,1,1,0,.005186945
flow,15,1,1,1,1,0,.004836323
flow,15,2,1,1,1,0,.004433063
flow,15,3,1,1,1,0,.004013134
flow,15,4,1,1,1,0,.004117734
flow,15,5,1,1,1,0,.003870899
flow,15,6,1,1,1,0,.005475417
flow,15,7,1,1,1,0,.006417221
flow,15,8,1,1,1,0,.005719697
flow,15,9,1,1,1,0,.004596640
flow,15,10,1,1,1,0,.004018946
flow,15,11,1,1,1,0,.004052379
flow,15,12,1,1,1,0,.004076448
flow,15,13,1,1,1,0,.004457083
flow,15,14,1,1,1,0,.004360318
flow,15,15,1,1,1,0,.004819349
flow,15,16,1,1,1,0,.004152230
flow,15,17,1,1,1,0,.004213966
flow,15,18,1,1,1,0,.005448116
flow,15,19,1,1,1,0,.004281084
flow,15,20,1,1,1,0,.005120368
flow,15,21,1,1,1,0,.005052651
flow,15,22,1,1,1,0,.004071253
flow,15,23,1,1,1,0,.004482931
flow,15,24,1,1,1,0,.004171123
flow,15,25,1,1,1,0,.005995802
flow,15,26,1,1,1,0,.006416567
flow,15,27,1,1,1,0,.004459392
flow,15,28,1,1,1,0,.004821298
flow,15,29,1,1,1,0,.004854539
flow,20,0,1,1,1,0,.004677139
flow,20,1,1,1,1,0,.004304305
flow,20,2,1,1,1,0,.004262483
flow,20,3,1,1,1,0,.005935934
flow,20,4,1,1,1,0,.005790699
flow,20,5,1,1,1,0,.004655727
flow,20,6,1,1,1,0,.004315010
flow,20,7,1,1,1,0,.005098953
flow,20,8,1,1,1,0,.004507410
flow,20,9,1,1,1,0,.004377900
flow,20,10,1,1,1,0,.004145662
flow,20,11,1,1,1,0,.004375283
flow,20,12,1,1,1,0,.008176093
flow,20,13,1,1,1,0,.005363288
flow,20,14,1,1,1,0,.004341311
flow,20,15,1,1,1,0,.004811841
flow,20,16,1,1,1,0,.004823045
flow,20,17,1,1,1,0,.004052681
flow,20,18,1,1,1,0,.004264951
flow,20,19,1,1,1,0,.005486232
flow,20,20,1,1,1,0,.005958218
flow,20,21,0,1,1,0,.005509558
flow,20,22,1,1,1,0,.006904305
flow,20,23,1,1,1,0,.004982274
flow,20,24,1,1,1,0,.005952225
